bee_id,group,trial,choice,block
16,RL,1,0,10
16,RL,2,1,10
16,RL,3,0,10
16,RL,4,0,10
16,RL,5,0,10
16,RL,6,1,10
16,RL,7,0,10
16,RL,8,0,10
16,RL,9,1,10
16,RL,10,0,10
16,RL,11,0,20
16,RL,12,1,20
16,RL,13,0,20
16,RL,14,1,20
16,RL,15,1,20
16,RL,16,0,20
16,RL,17,1,20
16,RL,18,0,20
16,RL,19,1,20
16,RL,20,0,20
16,RL,21,0,30
16,RL,22,1,30
16,RL,23,0,30
16,RL,24,1,30
16,RL,25,1,30
16,RL,26,1,30
16,RL,27,1,30
16,RL,28,1,30
16,RL,29,0,30
16,RL,30,0,30
16,RL,31,0,40
16,RL,32,0,40
16,RL,33,0,40
16,RL,34,0,40
16,RL,35,1,40
16,RL,36,1,40
16,RL,37,0,40
16,RL,38,1,40
16,RL,39,1,40
16,RL,40,0,40
17,LR,1,1,10
17,LR,2,1,10
17,LR,3,0,10
17,LR,4,1,10
17,LR,5,1,10
17,LR,6,0,10
17,LR,7,0,10
17,LR,8,0,10
17,LR,9,1,10
17,LR,10,0,10
17,LR,11,0,20
17,LR,12,1,20
17,LR,13,1,20
17,LR,14,1,20
17,LR,15,0,20
17,LR,16,0,20
17,LR,17,0,20
17,LR,18,1,20
17,LR,19,1,20
17,LR,20,1,20
17,LR,21,0,30
17,LR,22,0,30
17,LR,23,0,30
17,LR,24,0,30
17,LR,25,1,30
17,LR,26,1,30
17,LR,27,0,30
17,LR,28,1,30
17,LR,29,1,30
17,LR,30,0,30
17,LR,31,1,40
17,LR,32,1,40
17,LR,33,1,40
17,LR,34,1,40
17,LR,35,0,40
17,LR,36,0,40
17,LR,37,1,40
17,LR,38,1,40
17,LR,39,0,40
17,LR,40,0,40
18,RL,1,0,10
18,RL,2,1,10
18,RL,3,0,10
18,RL,4,1,10
18,RL,5,0,10
18,RL,6,1,10
18,RL,7,1,10
18,RL,8,0,10
18,RL,9,1,10
18,RL,10,1,10
18,RL,11,0,20
18,RL,12,1,20
18,RL,13,0,20
18,RL,14,0,20
18,RL,15,1,20
18,RL,16,1,20
18,RL,17,1,20
18,RL,18,0,20
18,RL,19,0,20
18,RL,20,0,20
18,RL,21,1,30
18,RL,22,0,30
18,RL,23,0,30
18,RL,24,0,30
18,RL,25,1,30
18,RL,26,1,30
18,RL,27,1,30
18,RL,28,1,30
18,RL,29,1,30
18,RL,30,1,30
18,RL,31,1,40
18,RL,32,0,40
18,RL,33,1,40
18,RL,34,1,40
18,RL,35,0,40
18,RL,36,1,40
18,RL,37,1,40
18,RL,38,1,40
18,RL,39,1,40
18,RL,40,1,40
19,LR,1,0,10
19,LR,2,0,10
19,LR,3,0,10
19,LR,4,1,10
19,LR,5,1,10
19,LR,6,1,10
19,LR,7,0,10
19,LR,8,0,10
19,LR,9,1,10
19,LR,10,1,10
19,LR,11,0,20
19,LR,12,1,20
19,LR,13,1,20
19,LR,14,1,20
19,LR,15,1,20
19,LR,16,0,20
19,LR,17,1,20
19,LR,18,1,20
19,LR,19,0,20
19,LR,20,1,20
19,LR,21,0,30
19,LR,22,1,30
19,LR,23,0,30
19,LR,24,0,30
19,LR,25,1,30
19,LR,26,1,30
